"Date";"Volume";"Trades";"Bar Size";"High";"Low";"Open";"Close";"Delta T/D";"Delta Aggressor";"H/L Side";"O/C Side";"O/C Size";"Max Volume";"M/V Price";"M/V Trades";"M/V Delta T/D";"M/V Delta Aggressor";"Max Trade";"Max Tick";"Ticks Number";"Hidden Volume";"TPO High";"TPO Low";"COT High";"COT Low";"Max Delta T/D";"Max Delta Aggressor"
"2023-05-28 17:00:00";"14080";"9811";"53";"4243,25";"4230,25";"4239,75";"4233,5";"438";"410";"-1";"-1";"25";"865";"4239,75";"158";"723";"725";"60";"771";"2339";"90";"4240";"4233,25";"-27";"177";"723";"725"
"2023-05-28 17:30:00";"3885";"3181";"20";"4234,5";"4229,75";"4233,5";"4231";"-589";"-561";"-1";"-1";"10";"444";"4231";"323";"-228";"-52";"-29";"-48";"550";"111";"4232";"4230,25";"-566";"-12";"-228";"-93"
"2023-05-28 18:00:00";"2178";"1841";"10";"4232,5";"4230,25";"4231,25";"4231,25";"118";"66";"1";"0";"0";"325";"4231,5";"285";"77";"19";"17";"50";"369";"14";"4231,75";"4230,5";"29";"73";"-160";"67"
"2023-05-28 18:30:00";"2657";"2154";"11";"4232,5";"4230";"4231";"4230,75";"-433";"91";"1";"-1";"1";"478";"4231";"343";"-204";"-106";"-29";"-89";"421";"11";"4231,75";"4230,5";"-69";"56";"-242";"-106"
"2023-05-28 19:00:00";"7337";"5579";"30";"4234,5";"4227,25";"4230,75";"4227,5";"-737";"-281";"-1";"-1";"13";"510";"4232,5";"379";"-44";"16";"-50";"-111";"895";"8";"4233,5";"4229,75";"-552";"-78";"287";"-94"
"2023-05-28 19:30:00";"5055";"3508";"12";"4227,5";"4224,75";"4227,5";"4225,75";"-109";"-397";"-1";"-1";"7";"933";"4225,75";"581";"-121";"3";"50";"-72";"640";"3";"4226,5";"4225,25";"-306";"-70";"-221";"-243"
"2023-05-28 20:00:00";"4520";"3381";"13";"4227";"4224";"4226";"4225";"-18";"-100";"1";"-1";"4";"759";"4225,5";"488";"297";"19";"50";"72";"601";"0";"4226";"4224,75";"-122";"139";"297";"-120"
"2023-05-28 20:30:00";"4065";"3303";"13";"4225,25";"4222,25";"4225,25";"4224,75";"73";"-243";"-1";"-1";"2";"627";"4223,5";"511";"105";"47";"27";"-66";"643";"4";"4224";"4222,75";"-220";"118";"-228";"-158"
"2023-05-28 21:00:00";"2536";"2015";"11";"4226,75";"4224,25";"4224,75";"4224,5";"-74";"38";"-1";"-1";"1";"371";"4225,75";"301";"-115";"-3";"11";"-59";"388";"7";"4226,5";"4225";"-172";"-46";"176";"118"
"2023-05-28 21:30:00";"1977";"1560";"9";"4225,5";"4223,5";"4224,5";"4225";"-155";"-95";"1";"1";"2";"319";"4224,25";"265";"-171";"-105";"-19";"-56";"280";"0";"4224,75";"4223,75";"16";"59";"-171";"-105"
"2023-05-28 22:00:00";"2307";"1817";"9";"4226,75";"4224,75";"4225";"4226,5";"461";"385";"1";"1";"6";"541";"4226";"395";"127";"83";"20";"-66";"392";"1";"4226,25";"4225,5";"3";"318";"166";"108"
"2023-05-28 22:30:00";"2938";"2405";"18";"4226,25";"4222";"4226,25";"4222";"-698";"-636";"-1";"-1";"17";"397";"4223,5";"323";"-81";"-111";"-15";"-78";"568";"0";"4225,25";"4222,5";"-626";"-15";"-194";"-122"
"2023-05-28 23:00:00";"1813";"1452";"7";"4223";"4221,5";"4222";"4222,5";"-25";"-103";"1";"1";"2";"503";"4222,75";"404";"59";"13";"-10";"-45";"371";"0";"4222,75";"4222,25";"-28";"-19";"181";"163"
"2023-05-28 23:30:00";"1524";"1261";"11";"4224,75";"4222,25";"4222,25";"4224,75";"78";"210";"1";"1";"10";"355";"4223,75";"278";"-85";"33";"10";"52";"301";"2";"4224,25";"4223,25";"32";"203";"193";"119"
"2023-05-29 00:00:00";"2643";"2065";"11";"4225";"4222,5";"4224,75";"4224,75";"-193";"-51";"1";"0";"0";"488";"4224,25";"349";"106";"46";"40";"92";"349";"7";"4224,75";"4223,75";"-12";"178";"-184";"-62"
"2023-05-29 00:30:00";"2684";"2180";"12";"4227,25";"4224,5";"4224,75";"4227";"228";"140";"1";"1";"9";"427";"4226,25";"351";"127";"111";"-20";"57";"449";"0";"4226,75";"4225,25";"-8";"137";"127";"111"
"2023-05-29 01:00:00";"3598";"2821";"12";"4228";"4225,25";"4227";"4227,5";"154";"260";"1";"1";"2";"514";"4226,25";"410";"178";"60";"-20";"-53";"452";"3";"4227,25";"4225,75";"58";"287";"178";"-124"
"2023-05-29 01:30:00";"4530";"3283";"21";"4232,25";"4227,25";"4227,5";"4231,5";"1010";"1018";"1";"1";"16";"788";"4231";"543";"562";"386";"-63";"89";"540";"5";"4231,5";"4230";"16";"960";"562";"386"
"2023-05-29 02:00:00";"5823";"4544";"20";"4232,5";"4227,75";"4231,75";"4230,75";"379";"1189";"1";"-1";"4";"583";"4229,75";"470";"11";"7";"48";"158";"851";"6";"4232,25";"4229,5";"179";"811";"193";"181"
"2023-05-29 02:30:00";"4192";"3343";"24";"4231,75";"4226";"4230,75";"4226,75";"-570";"-232";"-1";"-1";"16";"718";"4228,75";"555";"-60";"-98";"25";"-99";"682";"4";"4229";"4226,75";"-246";"25";"-194";"-98"
"2023-05-29 03:00:00";"2361";"2002";"9";"4228,5";"4226,5";"4226,5";"4228,25";"283";"77";"1";"1";"7";"765";"4227,5";"632";"123";"-15";"15";"-51";"402";"1";"4228,25";"4227,5";"25";"165";"141";"-76"
"2023-05-29 03:30:00";"2392";"1944";"15";"4230,25";"4226,75";"4228";"4227,25";"196";"108";"-1";"-1";"3";"325";"4228";"247";"-145";"-103";"16";"63";"367";"2";"4228,75";"4227,25";"-106";"-11";"-145";"122"
"2023-05-29 04:00:00";"2876";"2203";"19";"4228,5";"4224";"4227";"4224,5";"-644";"-268";"-1";"-1";"10";"504";"4227";"381";"-162";"-18";"26";"-78";"394";"1";"4227,75";"4225,5";"-322";"60";"-162";"-94"
"2023-05-29 04:30:00";"5204";"3887";"16";"4225,25";"4221,5";"4224,5";"4224";"-88";"-146";"-1";"-1";"2";"769";"4224";"580";"-483";"-167";"-34";"-75";"614";"299";"4224,75";"4223";"-102";"127";"-483";"-167"
