"Date";"Volume";"Trades";"Bar Size";"High";"Low";"Open";"Close";"Delta T/D";"Delta Aggressor";"H/L Side";"O/C Side";"O/C Size";"Max Volume";"M/V Price";"M/V Trades";"M/V Delta T/D";"M/V Delta Aggressor";"Max Trade";"Max Tick";"Ticks Number";"Hidden Volume";"TPO High";"TPO Low";"COT High";"COT Low";"Max Delta T/D";"Max Delta Aggressor"
"2021-08-22 17:00:00";"5273";"3635";"23";"4439";"4433,5";"4435";"4439";"319";"1105";"1";"1";"16";"758";"4438";"569";"88";"158";"-60";"-207";"560";"0";"4438,75";"4436,25";"5";"889";"214";"315"
"2021-08-22 17:30:00";"2860";"2274";"15";"4442,25";"4438,75";"4439";"4439,75";"396";"344";"1";"1";"3";"345";"4441";"271";"97";"73";"-21";"64";"267";"0";"4441,75";"4439,75";"-127";"251";"120";"110"
"2021-08-22 18:00:00";"1910";"1594";"13";"4442,5";"4439,5";"4439,75";"4442";"232";"296";"1";"1";"9";"454";"4441,75";"363";"-20";"38";"12";"57";"216";"0";"4442";"4441";"15";"246";"138";"120"
"2021-08-22 18:30:00";"2853";"2314";"14";"4442";"4438,75";"4442";"4440";"-321";"-77";"-1";"-1";"8";"657";"4440";"487";"37";"97";"42";"74";"310";"3";"4440,75";"4439,75";"-23";"122";"-132";"97"
"2021-08-22 19:00:00";"5665";"4418";"14";"4443";"4439,75";"4440,25";"4441,75";"841";"415";"-1";"1";"6";"865";"4441";"675";"259";"139";"28";"117";"395";"45";"4441,75";"4440,25";"11";"-7";"394";"139"
"2021-08-22 19:30:00";"4641";"3674";"18";"4443,5";"4439,25";"4441,5";"4442,75";"-127";"49";"1";"1";"5";"704";"4441,75";"491";"-26";"36";"125";"-222";"308";"22";"4443";"4441";"-42";"314";"-337";"-104"
"2021-08-22 20:00:00";"6923";"5311";"20";"4447";"4442,25";"4443";"4446,25";"1109";"1485";"1";"1";"13";"1024";"4445,25";"777";"-40";"-44";"43";"157";"436";"9";"4446,25";"4444,5";"40";"1492";"361";"353"
"2021-08-22 20:30:00";"7069";"5304";"24";"4450,25";"4444,5";"4446,5";"4448,75";"693";"527";"1";"1";"9";"609";"4446";"485";"139";"33";"100";"182";"401";"0";"4449";"4444,5";"-237";"739";"266";"168"
"2021-08-22 21:00:00";"4681";"3511";"15";"4451,75";"4448,25";"4448,75";"4450,25";"375";"235";"1";"1";"6";"621";"4450";"425";"35";"15";"45";"141";"361";"1";"4451,5";"4450";"-163";"241";"316";"248"
"2021-08-22 21:30:00";"2576";"2118";"9";"4451,75";"4449,75";"4450,25";"4451,25";"468";"114";"1";"1";"4";"603";"4450,75";"510";"125";"57";"-31";"93";"204";"1";"4451";"4450,25";"0";"29";"221";"115"
"2021-08-22 22:00:00";"5866";"4060";"18";"4455";"4450,75";"4451,5";"4453,5";"812";"532";"1";"1";"8";"867";"4452,25";"680";"5";"-9";"-87";"136";"301";"0";"4453,5";"4451,5";"-90";"425";"366";"186"
"2021-08-22 22:30:00";"2006";"1733";"9";"4454,25";"4452,25";"4453,75";"4452,5";"34";"-118";"-1";"-1";"5";"472";"4452,75";"416";"138";"-18";"-15";"-47";"244";"0";"4453,25";"4452,5";"-89";"-20";"138";"-120"
