Volume,Trades,Bar Size,High,Low,Open,Close,Delta T/D,Delta Aggressor,H/L Side,O/C Side,O/C Size,Max Volume,M/V Price,M/V Trades,M/V Delta T/D,M/V Delta Aggressor,Max Trade,Max Tick,Ticks Number,OI Delta,TPO High,TPO Low,COT High,COT Low,Max Delta T/D,Max Delta Aggressor,returns
1096453,509854,88,2986.25,2964.5,2976.0,2984.5,-61,-25605,1,1,34,41328,2978.5,13701,-4136,-3418,0,0,0,20411,2984.0,2974.25,-551,-20377,-4539,-3418,0.014273576890399431
1597112,773865,188,2993.0,2946.25,2979.75,2968.5,12504,11582,-1,-1,45,22965,2985.0,11230,527,-757,0,0,0,-17926,2990.5,2961.5,7786,21909,-4321,-2631,-0.005361031998659782
1314899,644120,124,2995.0,2964.25,2985.75,2979.5,11097,3907,-1,-1,25,28685,2979.75,12732,3635,2205,0,0,0,-3571,2985.0,2972.5,2025,10408,3635,2205,0.0037055752063330782
1460267,698764,153,2991.75,2953.75,2971.0,2986.0,-5133,-8349,1,1,60,29253,2987.0,9185,-4741,-591,0,0,0,-1799,2991.5,2967.25,-2843,8876,-4741,-2651,0.0021815740896122815
1884384,900827,216,3012.25,2958.5,3001.0,2972.0,-28428,-6990,-1,-1,116,28007,2966.5,11885,2583,3041,0,0,0,-4441,2995.0,2958.5,-9381,7639,-3686,3041,-0.0046885465505692725
1015389,482903,106,3008.25,2982.0,2995.75,3001.0,17905,4587,-1,1,21,28441,2997.25,12746,3941,313,0,0,0,22141,2998.25,2988.0,4925,9643,4712,3017,0.009757738896366108
1380705,607785,132,3018.0,2985.25,3007.0,2989.25,-12765,-34895,-1,-1,71,33684,3014.5,14376,172,1108,0,0,0,7439,3017.75,2997.0,-37662,-11165,-6129,-4031,-0.0039153615461512414
1138036,525639,134,3024.5,2991.25,3010.0,3007.5,-29320,-25626,1,-1,10,25544,3009.0,9800,1336,-326,0,0,0,62239,3021.0,3007.25,-20134,-24335,-5530,-4686,0.006105210337041145
1238181,571402,133,3013.75,2980.75,3008.75,3009.75,7873,19859,1,1,4,34050,3000.0,13971,-2344,-2892,0,0,0,40443,3010.5,2995.0,776,23699,4093,-2892,0.0007481296758105049
875065,428646,62,3009.0,2993.75,3004.25,3008.25,24133,14925,1,1,16,43949,3001.5,20849,2505,1911,0,0,0,217768,3003.0,2998.0,2854,15730,7166,7168,-0.0004983802641415069
936925,489848,88,3005.25,2983.5,2996.75,3004.5,8273,-8239,1,1,31,48628,2999.75,24421,2456,154,0,0,0,594653,3003.5,2996.75,-4392,-5837,8225,-3812,-0.0012465719272002351
652248,316305,82,3023.75,3003.5,3010.0,3007.0,-7252,-5760,-1,-1,12,17945,3015.0,9422,-1967,165,0,0,0,-824487,3017.5,3008.25,-6019,254,3194,-2768,0.0008320852055250239
1444653,730739,84,3021.75,3001.0,3003.0,3008.5,-8305,-1019,1,1,22,34003,3017.25,16881,-1985,-1099,0,0,0,5519,3019.0,3008.0,-12517,-4863,5573,-4184,0.0004988360492184096
1289425,570532,130,3004.25,2972.0,2979.0,3002.25,16777,32991,1,1,93,29711,2995.0,11994,-1207,1437,0,0,0,-155517,3002.25,2983.5,-216,33690,-7040,3104,-0.0020774472328403126
1414297,657694,112,2985.0,2957.25,2979.25,2979.5,42717,17601,-1,1,1,33173,2966.5,15203,-1249,-593,0,0,0,-23943,2971.5,2959.0,16888,27344,4832,3079,-0.007577650095761501
1138683,518226,89,2991.5,2969.5,2980.25,2979.0,-50249,-8019,-1,-1,5,48088,2984.5,21569,-3064,-156,0,0,0,82425,2991.5,2977.75,-13538,7739,-6008,3588,-0.00016781339150861996
1106775,535787,73,2988.25,2970.25,2970.75,2983.0,10443,-6089,1,1,49,51850,2982.0,24080,3982,-322,0,0,0,-61550,2983.5,2978.25,-8698,-5858,6553,-3912,0.0013427324605572721
1590268,723256,201,2986.5,2936.5,2938.0,2970.0,25500,17518,1,1,128,51294,2975.5,18928,1928,520,0,0,0,-2564,2986.0,2969.0,-5565,18090,-7143,-4755,-0.004358028830036886
1184746,559753,151,2939.5,2902.0,2903.0,2937.75,4736,17096,1,1,139,36504,2937.5,12261,-3464,504,0,0,0,-944,2939.0,2928.0,153,18143,5081,-4936,-0.0108585858585859
1625575,816906,98,2915.5,2891.25,2899.0,2904.5,-3465,12223,-1,1,22,49277,2903.75,25291,649,1309,0,0,0,7089,2908.0,2898.75,10805,2926,-5045,-3869,-0.011318185686324589
290124,161336,151,2926.5,2889.0,2901.0,2898.75,5654,9846,-1,-1,9,8239,2918.0,3980,1573,1503,0,0,0,11909,2919.5,2904.5,-763,1488,1573,1503,-0.001979686693062477
